Player,Span,Years,Inns,NO/I,R/I,Avg,SR,100/I,50/I,6+4/BF
CR Woakes (ENG),2011-2015,4,24,0.20833333333333334,14.083333333333334,17.78,78.06,0.0,0.0,0.057736720554272515
SD Outerbridge (BMUDA),2006-2009,3,23,0.0,14.608695652173912,14.60,54.90,0.0,0.043478260869565216,0.05228758169934641
GEF Barnett (CAN),2006-2009,3,16,0.0,20.75,20.75,61.59,0.0,0.0625,0.07792207792207792
PW Borren (NL),2006-2009,3,20,0.0,16.15,16.15,94.72,0.0,0.1,0.09970674486803519
NN Odhiambo (KENYA),2006-2009,3,28,0.21428571428571427,11.285714285714286,14.36,76.88,0.0,0.03571428571428571,0.0851581508515815
SP Narine (WI),2011-2014,3,32,0.1875,8.5,10.46,78.61,0.0,0.0,0.09826589595375723
Z Khan (INDIA),2001-2004,3,39,0.358974358974359,6.897435897435898,10.76,74.72,0.0,0.0,0.08611111111111111
U Bhatti (CAN),2006-2009,3,21,0.2857142857142857,11.428571428571429,16.00,76.43,0.0,0.0,0.0732484076433121
DNT Zoysa (SL),2001-2004,3,24,0.5,9.541666666666666,19.08,106.01,0.0,0.0,0.12037037037037036
JM Bairstow (ENG),2011-2015,4,9,0.1111111111111111,24.333333333333332,27.37,86.22,0.0,0.1111111111111111,0.10236220472440945
J Botha (Afr/SA),2005-2008,3,14,0.35714285714285715,11.571428571428571,18.00,86.63,0.0,0.0,0.08021390374331551
DR Tuffey (NZ),2001-2004,3,35,0.4857142857142857,4.085714285714285,7.94,60.08,0.0,0.0,0.058823529411764705
R Rampaul (WI),2007-2010,3,15,0.06666666666666667,8.666666666666666,9.28,82.80,0.0,0.0,0.10191082802547771
TL Chatara (ZIM),2013-2016,3,20,0.5,5.25,10.50,57.69,0.0,0.0,0.06043956043956044
M Morkel (Afr/SA),2007-2010,3,10,0.3,10.2,14.57,94.44,0.0,0.0,0.12037037037037036
BAW Mendis (SL),2008-2011,3,22,0.4090909090909091,4.5,7.61,68.75,0.0,0.0,0.04861111111111111
Kabir Ali (ENG),2003-2006,3,9,0.3333333333333333,10.333333333333334,15.50,86.11,0.0,0.0,0.08333333333333333
SI Mahmood (ENG),2004-2007,3,15,0.26666666666666666,5.666666666666667,7.72,84.15,0.0,0.0,0.0891089108910891
JA Morkel (Afr/SA),2004-2007,3,8,0.125,10.625,12.14,73.91,0.0,0.0,0.08695652173913043
Wahab Riaz (PAK),2008-2011,3,15,0.26666666666666666,5.333333333333333,7.27,86.02,0.0,0.0,0.0967741935483871
ST Finn (ENG),2011-2015,4,21,0.42857142857142855,3.761904761904762,6.58,48.76,0.0,0.0,0.043209876543209874
MK Tiwary (INDIA),2008-2011,3,5,0.0,12.2,12.20,66.30,0.0,0.0,0.07608695652173914
SC Joseph (WI),2001-2004,3,5,0.2,11.8,14.75,43.38,0.0,0.0,0.022058823529411766
JL Ontong (Afr/SA),2002-2005,3,9,0.1111111111111111,5.888888888888889,6.62,59.55,0.0,0.0,0.056179775280898875
TA Boult (NZ),2012-2015,3,10,0.6,5.2,13.00,75.36,0.0,0.0,0.10144927536231885
MM Patel (INDIA),2006-2009,3,15,0.5333333333333333,3.466666666666667,7.42,66.66,0.0,0.0,0.07692307692307693
RO Hussain (SCOT),2007-2010,3,6,0.16666666666666666,7.833333333333333,9.40,47.95,0.0,0.0,0.05102040816326531
Hamid Hassan (AFG),2009-2013,4,7,0.14285714285714285,6.0,7.00,60.86,0.0,0.0,0.057971014492753624
Dawlat Zadran (AFG),2011-2014,3,9,0.2222222222222222,4.222222222222222,5.42,36.53,0.0,0.0,0.038461538461538464
Yasir Arafat (PAK),2005-2008,3,4,0.5,9.5,19.00,76.00,0.0,0.0,0.1
JO Ngoche (KENYA),2010-2013,3,11,0.36363636363636365,3.1818181818181817,5.00,41.17,0.0,0.0,0.023529411764705882
Mohammad Asif (Asia/PAK),2005-2008,3,11,0.45454545454545453,3.0,5.50,42.85,0.0,0.0,0.025974025974025976
MC Henriques (AUS),2009-2013,4,5,0.2,6.4,8.00,61.53,0.0,0.0,0.0
Farhad Reza (BDESH),2008-2011,3,6,0.16666666666666666,5.0,6.00,34.48,0.0,0.0,0.022988505747126436
KC Sangakkara (SL),2001-2004,3,98,0.1326530612244898,28.540816326530614,32.90,72.51,0.030612244897959183,0.17346938775510204,0.07078039927404718
DPMD Jayawardene (SL),2001-2004,3,90,0.1,29.666666666666668,32.96,71.52,0.03333333333333333,0.15555555555555556,0.05679078489150817
Younis Khan (PAK),2001-2004,3,87,0.14942528735632185,29.057471264367816,34.16,77.02,0.011494252873563218,0.21839080459770116,0.061243144424131625
HH Dippenaar (SA),2001-2004,3,56,0.16071428571428573,37.25,44.38,66.15,0.017857142857142856,0.30357142857142855,0.06533460196638123
KP Pietersen (ENG/ICC),2004-2007,3,45,0.2,45.022222222222226,56.27,91.46,0.1111111111111111,0.3111111111111111,0.10564334085778782
A Flintoff (ENG),2001-2004,3,56,0.17857142857142858,32.232142857142854,39.23,94.40,0.05357142857142857,0.19642857142857142,0.11558577405857741
GJ Maxwell (AUS),2012-2015,3,50,0.12,30.7,34.88,126.44,0.02,0.24,0.17051070840197693
HJH Marshall (NZ),2003-2006,3,47,0.14893617021276595,26.361702127659573,30.97,72.71,0.02127659574468085,0.23404255319148937,0.0534037558685446
L Vincent (NZ),2002-2005,3,52,0.1346153846153846,23.423076923076923,27.06,66.01,0.019230769230769232,0.11538461538461539,0.06666666666666667
JD Ryder (NZ),2008-2011,3,30,0.03333333333333333,34.7,35.89,90.99,0.06666666666666667,0.16666666666666666,0.1215034965034965
J Charles (WI),2012-2015,3,35,0.0,29.0,29.00,84.44,0.05714285714285714,0.11428571428571428,0.11647254575707154
TLW Cooper (NL),2010-2013,3,22,0.09090909090909091,44.36363636363637,48.80,70.16,0.045454545454545456,0.36363636363636365,0.06182602444284687
JM How (NZ),2005-2008,3,18,0.05555555555555555,39.888888888888886,42.23,72.96,0.05555555555555555,0.3333333333333333,0.08841463414634146
TM Odoyo (KENYA),2001-2004,3,30,0.06666666666666667,20.833333333333332,22.32,64.16,0.0,0.06666666666666667,0.07494866529774127
AB Agarkar (INDIA),2001-2004,3,44,0.3181818181818182,13.272727272727273,19.46,88.21,0.0,0.045454545454545456,0.09667673716012085
ES Szwarczynski (NL),2006-2009,3,17,0.058823529411764705,29.0,30.81,69.33,0.0,0.29411764705882354,0.06469760900140648
JDS Neesham (NZ),2013-2016,3,22,0.2727272727272727,21.454545454545453,29.50,91.65,0.0,0.09090909090909091,0.1087378640776699
N Deonarine (WI),2007-2010,3,15,0.2,27.933333333333334,34.91,76.04,0.0,0.26666666666666666,0.07259528130671507
RM Haq (SCOT),2006-2009,3,21,0.0,18.476190476190474,18.47,66.09,0.0,0.14285714285714285,0.08347529812606473
R Ashwin (INDIA),2010-2013,3,34,0.35294117647058826,11.058823529411764,17.09,83.37,0.0,0.0,0.07317073170731707
BJ Patel (KENYA),2001-2004,3,18,0.1111111111111111,17.72222222222222,19.93,52.38,0.0,0.0,0.07389162561576355
SR Patel (ENG),2008-2011,3,13,0.15384615384615385,23.53846153846154,27.81,91.89,0.0,0.07692307692307693,0.08708708708708708
Mudassar Bukhari (NL),2007-2010,3,19,0.10526315789473684,14.894736842105264,16.64,65.35,0.0,0.10526315789473684,0.07390300230946882
Jahurul Islam (BDESH),2010-2013,3,13,0.07692307692307693,20.76923076923077,22.50,72.77,0.0,0.07692307692307693,0.07277628032345014
Sohail Tanvir (PAK),2008-2011,3,19,0.3157894736842105,11.31578947368421,16.53,89.21,0.0,0.05263157894736842,0.1078838174273859
DO Obuya (KENYA),2002-2006,4,21,0.09523809523809523,9.904761904761905,10.94,47.59,0.0,0.047619047619047616,0.05263157894736842
FDM Karunaratne (SL),2011-2015,4,13,0.07692307692307693,14.615384615384615,15.83,68.84,0.0,0.07692307692307693,0.050724637681159424
Iftikhar Anjum (PAK),2004-2007,3,23,0.6521739130434783,7.3478260869565215,21.12,58.88,0.0,0.0,0.03484320557491289
RML Taylor (SCOT),2013-2016,3,14,0.21428571428571427,11.0,14.00,89.53,0.0,0.0,0.08139534883720931
SW Masakadza (ZIM),2010-2013,3,8,0.25,18.5,24.66,100.00,0.0,0.0,0.14864864864864866
M Ntini (SA),2001-2004,3,16,0.5,7.3125,14.62,74.52,0.0,0.0,0.08917197452229299
RS Morton (WI),2002-2005,3,5,0.0,22.8,22.80,50.44,0.0,0.2,0.05309734513274336
RJ Peterson (SA),2002-2006,4,10,0.1,9.8,10.88,66.21,0.0,0.0,0.060810810810810814
BJ Haddin (AUS),2001-2004,3,7,0.0,13.714285714285714,13.71,63.57,0.0,0.0,0.0728476821192053
MG Johnson (AUS),2005-2008,3,18,0.4444444444444444,5.111111111111111,9.20,73.01,0.0,0.0,0.05555555555555555
DW Steyn (SA),2007-2010,3,12,0.4166666666666667,6.833333333333333,11.71,102.50,0.0,0.0,0.1
AC Evans (SCOT),2012-2015,3,7,0.5714285714285714,10.0,23.33,77.77,0.0,0.0,0.1
CD Collymore (WI),2001-2004,3,19,0.42105263157894735,2.9473684210526314,5.09,38.88,0.0,0.0,0.013888888888888888
SJ Harmison (ENG),2002-2005,3,14,0.6428571428571429,3.857142857142857,10.80,58.69,0.0,0.0,0.021739130434782608
UT Yadav (INDIA),2011-2014,3,12,0.75,3.4166666666666665,13.66,67.21,0.0,0.0,0.11475409836065574
CT Tremlett (ENG),2005-2008,3,6,0.3333333333333333,6.333333333333333,9.50,58.46,0.0,0.0,0.046153846153846156
VD Philander (SA),2008-2012,4,3,0.3333333333333333,11.666666666666666,17.50,79.54,0.0,0.0,0.06818181818181818
